,reviews
9233,Love this phone. It's the gold IPhone 4s. I feel like it will never fail me. Some of the newer phones I see seem to have a ton of problems. 
9234,"Love this phone! I have been able to use it as a Camara, computer, phone, alarm, calculator and the list goes on. I've had this until I upgraded to an Apple iPhone 5s. Apple all the way for me and my family. Can't go wrong with Apple iPhones."
9235,This was my first iPhone I ever had and it was by far my favorite. I loved the size and the shape. The newer versions seem a bit more flimsy and cheap. I loved my iPhone 5c and do love my 6s but none compare to the good old iPhone 4 
9236,"This is my second iPhone. I left and went to a Samsung in between and boy, was that a poor decision. The iPhone is durable, reliable and easy to use. I will never make that mistake again. "
9237,"This was my first iphone. While I did love it, I was so glad to upgrade! This iphone is wonderful, just slightly out of date with the current ios. "
9238,Used to have it I have a 5C now through T-Mobile and I wish I could go back to my 4S through Straighttalk. It was a lot more durable I wish it could do the new updates!
9239,I have been using an iPhone since 2008 and am a loyal customer of them.  My whole family has iPhones.
9240,I had this phone for three years and loved it. It just got to the point where I did not have enough space and it became extremely slow. 
9241,"This phone is great, only problem was slight glitches and issues with battery life, but definitely a great prices and quality phone to have."
9242,"I have had the 3G,4S,5s and currently the 6s. These iPhone have changed my life. They help me stay organized. I like having the option to watch YouTube and answers emails at the same time. This is a perfect smartphone for a beginner (4s). This is the model I got my brother. My son is using it now as his starter iPhone. The battery life is great too. "
9243,"This was the first iPhone I ever had and it was great, it seems so small compared to my current one but it was good phone. It had Siri so that was useful but after two years it began to freeze a lot and have many issues "
9244,"It's old but I like my phone. It works, I can make calls, I can send texts and access 4g "
9245,"I had this phone for more then 2 years and my parents all had it more then 3 and this is probably the biggest work horse of a phone out of all the phones, even if it isn't very fancy. I now have an 6s and I miss the size of my good old trust 4s.  "
9246,The iphone is pretty good works perfectly fine the internet could be a little faster othet than that its good
9247,My Iphone 4s is awful! It dies at 43% and I have to charge it at least 8 times a day. It barely holds any memory or pictures and am constantly having issues with it. I'm saving up for the newest iPhone soon!
9248,This is my current phone and I love it. I needed specially for the camera and it works perfectly
9249,This is the way to go I would probably prefer the one w/ more memory but being unlocked you can use w/ any service carrier. I'm currently using a samsung but will definitely be getting this one next.
9250,Its a nice phone however current software updates do not work well with this device slow phone and the battery does not last that long
9251,This phone was great up until about a year ago when the battery became trash.
9252,"I'm not quiet fond of how every thing has to be bought, the keyboard is small "
9253,For being an older generation phone it works fairly good. And I like tht it still gets software updates 
9254,Loveee this phone it's really nice to use hello recommend me for someone looking for a first phone
9255,I like my new iPhone but it sometimes freezes with no warning. But that's my only complaint!
9256,Was a good phone and I got a lot of mirage out of it!  I used this phone for at least 3 years before it died (and I dropped it a number of times!) easy to use and I was very happy with it. Only thing was I wish I had more memory space on it. 
9257,"I bought this as my first smartphone from a friend and paid 150. it lasted me 3 years after I moved on from Apple I went to Samsung and purchased the galaxy s4 mini. 
I would definitely recommend an iPhone for a person who has never had a smartphone before it is easy to use and dependable. "
9258,Sloooow. Freezes. Finally had to just go get an upgrade. Took forever for anything to load and the camera wasn't great either.
9259,"Love my 4s, very easy phone to start off with and also not as expensive as the other new apple phones, very compact compared to the 6s and has quite more width to it, but I've dropped mine a couple of times very brutally and have yet to crack the screen so I would say it's quite a sturdy phone too."
9260,"I loved my Apple 4S - up until the 5S came out - now the 6S (Plus 😉). 
Of course, I am an iPhone user. Have been for years now. If it's easy to use and safe to trust, why wouldn't I want this?"
9261,"The battery life is pretty terrible; I haven't had it long enough that I should have to replace the battery, but I did. It also doesn't run iOS9 well; it moves very slowly since I updated, but I can't run many of my necessary apps (like GroupMe) without the update, so I needed to update it."
9262,Love all apple phones. Definitely recommend them because they work amazing and the cameras are great
9263,I love my iPhone 6. It's light and easy to use! Next time I'm going to purchase the plus!
9264,"I use this every single day.  Actually a lot more than what I should.  I use my iPhone through straight talk and don't have the most up to date version but it works fine for what I use it for.  My home button sometimes gets dirty, with a case or without, and It sometimes becomes possessed and randomly will call people.   "
9265,"I love the app availability on this phone, not to mention the long battery life and large memory!"
9266,Very small screen compared to the new iPhones of course! As long as you get the 16GB and not the 8GB and don't care about having the latest verisions of apps and such you should enjoy this phone!
9267,"It is ok. My husband switched from a Samsung over to iPad and I'm not sure what he thinks. I have a Samsung and thought about switching but noooo I am sticking to Samsung, as my own opinion etc. I find it to be way better "
9268,Miss this phone it was the perfect size to fit in my hands should have kept it 
9269,This is my first iPhone and I really love like the size and I like everything 
9270,My husband is in love with his iPhone. he switched to Apple and will never go back
9271,"I've used my 4S for 3 years now and although the screens are not durable and neither are the Chargers, I like the apple software and refuse to use any other smartphone. "
9272,"Can not find a better brand. Easy to use and reliable. Only wish att had not changed their plan, otherwise I would have a 6 by now."
9273,"This is a nice phone with many features. The phone is smaller than the other versions, but it is heavier and easier to hold."
9274,"I love this phone so much because, after over a year of having it, it has not slowed down in the slightest. The phone I had before this slowed down to the point that I could no longer use it. It's Apple all the way from now on! "
9275,Buen Teléfono Toma Fotos Con Una Buena Calidad Tiene Una Excelente Señal Y Responde Rápido  No Se Tarda 
9276,"This is a good iPhone, it is still able to update but it's noticeably slower and less clear than the newer models. Many features are unavailable on this iPhone as it is an old model however I have not had any problems with it, it works very well and has done for almost 2 years. It's also survived a fair amount of knocks and drops, even a blue screen of death - and still coming out the other side working fine! "
9277,The iPhone is great! It has always worked great for me. No malfunctions or mishaps. Apple's customer service is great too.
9278,"I have has iphone in the past and every time I am dissapointing myself because the screens break so easy, cases and accessories are very hard to fund and there is not a lot of color option"
9279,It's a great phone and amazing design. I dislike the fact all music or ringtones must go through iTunes. technology this day and age should be basic and straight forward as it's used daily 
9280,"I love this phone so much, though recently it has become slow but maybe that's bc it's out of date."
9281,"It is a great phone! Fast and easy to get to the apps you need. But I still choose an Android over an apple phone. This phone gets complicated with simple settings, camera settings, doesn't have a hot spot, and you cannot input a memory card. "
9282,"I'm still using this phone and I love it, I haven't had any problems with it. Tons of storage & works everywhere I go"
9283,Good phone. one of the first iphones i had as a child. Now I am a loyal apple user and even have the iphone 6
9284,I love it so much fun and I have to . The best way for me is to eat it or kill you if I don't think that I can be the same thing 
9285,"I love everything about this phone, except for it's ability to break like no other. I have shattered so many iPhone's (even with cases on) Other than that, this phone is a great product. Lot's of storage and a great camera, not to mention gps, siri, and everything else that comes along with this phone."
9286,With rise of İphone 6 and İos 8 it couldn't catch them. I was very disappointed when Iwasn't able to load İos8 to my phone. Because of this I was forced to change it. Beside it the camera is actually good when you consider the year it launched. Beside it the glass screen on the front and on the back of the phone cause it to break vüreally quick . I hoped that it would be much stronger than it is.
9287,"It's not that bad, it's just it's really slow at times and it bothers me a lot, I'm just waiting for a new phone soon."
9288,I cannot say enough positive things about Apple.  I enjoy the simplicity and organization of these products.  
9289,Runs a bit slow because of being a few generations behind. Apple is a decent phone company. I like the features only available to iphone such as imessage and emojis :)
9290,It works fine and it's not too slow! Been using mine for years and there is not any problems so far.
9291,The iPhone 4s is alright. It's a bit slow but it still mostly works the same as the newer phones.
9292,Just being completely honest I do not currently have this phone. It was my previous phone and I was 100% obsessed. I never had any problems even after dropping several times. It's a very durable phone.  
9293,Omh I love to use iPhone I my all family and everyone love it too but I always don't like it 
9294,"I love this phone.  I used mine for almost 5 years.  The only reason I replaced it with a 5s is because it didn't have enough storage (16 GB just doesn't cut it).  Mine is unlocked, and I now use it when travelling...  Buy a pay-as-you-go SIM card, and it's good for the USA, Mexico, or Europe.  "
9295,"Mine is actually the 5s in white from Verizon & I do love it , it constantly updates so it never is old technology! Which is awesome , and Siri is so much fun how can you not lover her, ask her what does the fox say! Hilarious "
9296,"This is the best phone I have ever had by far enjoyed this it lasted me 3 years it would have lasted longer but it has been run over by a car don't ask loved this phone sooo much!!!!
"
9297,I loved this at first but learned to dislike it real fast apple charges you for everything
9298,"Good phone while i had it, unfortunetely  i had to replace it because it was running super slow and even opening an app was a 5 minute wait. "
9299,"This mobile phone works well, but now it looks a little bit old. It has a big memory and you can download loads of apps. The battery doesn't last longer."
9300,My poor little 4s! This phone has stuck with me through very hard times but I loved it! The back camera makes for good selfies if you're good at it! Doesn't do well with the new iOS updates but it was fun while it lasted.
9301,"Loved my iPhone 4, using a 6 now. Definitely  can't stay away from Apple products! "
9302,"My current phone, plus it is very light and easy to fit in my pocket. Call me lucky, but I am yet to damage the screen!"
9303,This was my first smart phone I got it from my mom 4 years ago. I know have upgraded through to the 6S plus. 
9304,"I loveeee my iPhone. minus the occasional glitches it works just fine & does everything I need it too 
"
9305,"I absolutely LOVED this phone.  I'm sure that if there would have never been an upgrade, I would probably still have it because this phone was great.  I liked that it was a little bit thicker and shorter.  "
9306,"I absolutely love my apply 4s. I rarely have a problem with Apple brands and when I do it's a super simple fix. Highly recommend 
"
9307,This phone is now out of date and crashes often. The battery dies very often on around 40% so a fully charged phone does not last long at all. It also fails with the new update and freezes. 
9308,"I love my Iphone to be honest I don't think I have a life without it. This Iphone is not my favorite, but if you don't have a lot of money this is quite useful <3"
9309,I have this phone currently. It's good not great the phone is a little slow but other wise not that bad.
9310,"Great and easy to use! I love it, my kids love it, my whole family loves Apple! Has great camera quality, great HD screen and easy to use"
9311,"Currently still have this phone, it works great still and is pretty durable. It is a lot slower compared to the newer models and mine tends to freeze a lot, but that's probably because I have had it for about four years now. I would recommend it to anyone who does not like to be 'in-trend' and anyone who drops their phone a lot. It is a good phone, I personally dislike it just because it does tend to freeze and turn itself back on when it is already on. "
9312,"Great phone. The camera is high quality, which is rare since it is a lot more affordable than the newer versions"
9313,What can I say about this phone that hasn't already been said. I'm addicted and in love. Will be holding on to this one until it's pryed from my hands.
9314,I love my phone i could upgrade but its the best model apples has ever made!
9315,"My Iphone 4 Lasted forever, I just upgraded to a 6 and still in love, the updates and ease of use are unmatched."
9316,It's kind of old but very useful. My phone is updated in iOS 9. IPhone 4s is small and useful for me as a student.
9317,I've had mine since 7th grade and I love the phone it will sometimes frustrate me and be wierd with me but I still love my phone
9318,"It's a good phone gets the job done, I really use a lot of graphics and the colors are good. "
9319,I love all Apple products and have been an avid iPhone user since my first smartphone. Will be upgrading to the iPhone 6 soon. 
9320,"I now have a 5s but let me tell you, when I had the 4s I had it for about 3 years and even though I could have gotten an upgrade I felt like I didn't need it because the 4s was awesome, it never failed! I had obviously dropped it a few times within the 3 years but it never broke or cracked and I never kept a case on it! I would still recommend the 4s to anyone, it is still an awesome already phone! "
9321,THIS iPhone is okay . Don't recommend but if u want it because it's cheap ok. It has very poor camera quality . Especially if ur recording . And it's very small 
9322,This phone is ok it does exactly what a phone should but seeing that the already have a 6s this phone is becoming more defective and not really working anymore 
9323,"Good quality phone , very strong and many applications are available to be downloaded ."
9324,"I switched from an android to an iPhone with the 4s a few years ago, and I haven't looked back. I used the 4s for a few years with no glitches or problems to speak of."
9325,MY BOYFRIEND GOT AN APPLE IHPONE 4S FOR FREE AT SPRINT BECAUSE HE BROKE HIS SAMSUNG AND HE USED TO HATE APPLE PRODUCTS AND ACTUALLY IS NOW IPHONE FOR LIFE!
9326,"It's a decently old phone but it works perfectly well! You don't need and brand new phone. You really don't, this one does the job. You can get almost all the same stuff as an iPhone 5 or 6. This is a good phone!"
9327,"I love this phone, couldn't live without it. Easy to use! I can't imagine ever being without it. "
9328,I love my iphone. It works great and I love that there are so many out there that you can buy a nice one that id only a year or two old for pretty cheap.
9329,If you are low maintenance and do not care about the very latest technology this is perfect. 
9330,"Great affordable phone. Although it's the older version, still works well. Good for kids. "
9331,There okay runs abit slow and want to upgrade to a 6 soon it is okay i suppose
9332,Still works I always drop it without a case and it hasn't broke yet I love apple products and I'm gonna get a iPhone 6s pretty soon
9333,"This classic version of the iPhone is perfect for those who live a simple life that's not so high tech.  I actually love this phone because its small and its size makes it easy to store since it fits conveniently in in almost every one of my pockets on most of my clothes.  However, The camera is very low quality and pictures come out looking pixelated up close.  The memory is also very limited and more storage is necessary to use most apps which you have to purchase and pay every month."
9334,Love my iPhone 4s.  It outlasted my galaxy which cracked after having it for only 2 months.  My iPhone has survived a toilet and being dropped from 30 ft.  
9335,"For my son being 11 this has been a great phone for him. It's durable, he's dropped it alot. And he uses it for all his games so storage is good. "
9336,"I had this phone for 3 years and never ever failed! This was the phone that lasted the longest with me and it still works! I bought a new iphone, but I saved my iphone 4s just in case something happens to the other one! I'm amazed how great it was! The only problem is that 16GB is nothing! I needed more space!"
9337,Love this phone. And the way it works with my apps and I can still do wok with my homework 
9338,Honestly the best phone version of the iPhone. It's honestly a part of my life. The size is perfect and I'm pretty hard on it with no damage. 
9339,Very slow and lagging new features if your gonna get a new phone please don't get this one 
9340,I remember having this phone. It was very reliable and great for on the go travels. Never has it disappointed me yet! 
9341,"I had a refurbished 4s, it worked most of the time.  but it liked to close out of my apps while using them, and stop working in the middle of calls. also it had a habit of sending texts to other people even tho I was in the same texts from Previous conversations."
9342,This phone is severely lacking one compared to the iPhone 5s. I did like it when I purchased it but it did seem to run kind of slow. I like the operating system a lot. Apple seems to keep all of my stuff together with my computer. The iCloud keeps me from worrying about losing any information. I had to upgrade at some point because this would sometimes shut off in the middle of a phone conversation. This phone is still better than any other fan that I've used from any other brand.
9343,"Lots of my friends have moved on from the 4s model, but I love it! I hardly ever have issues. My only complaint is how quickly the battery dies! "
9344,"Really slow and laggs, it drives my kids nuts. screen is fragile, already went through 2 of these phones for my kids due to shattered screens."
9345,"I purchased this phone when I decided I needed to have Siri like all of my friends. Quite honestly, most of the time I forgot the Siri option was even there. The phone lasted me two years and was still going strong when I gifted it to a family member so I could upgrade to a 6s. My reason for the upgrade? I didn't feel the photo quality was still up to par. Although fine at the time I got the phone, it seemed to deteriorate. "
9346,Absolutely love my iPhone! Don't know what I would do without it. Can never wait to get the next upgrade!
9347,I had this phone for about 2 years and I loved it. The apps are great and really convenient.
9348,Have! Screen cracked really easily. I fell down some outdoor stairs and it landed on concrete so it was a pretty hard drop 
9349,"Love my iPhone 4s, it might be my service but it does freeze a lot. sometimes it needs t be restarted and the front is not so clear."
9350,"Loved my 4s, but the battery always died quickly. 
I also had a hard time doing updates. "
9351,"I can't say enough about this phone.  We bought them for our teens and the durability is unmatched.  My daughters has been completely submerged - once in a lake and once in a puddle - and came out with minimal damage (external speaker doesn't work very well).  Of course, now the software doesn't keep up with newer apps, but for a starter phone for children, it is fantastic. "
9352,I had this phone for years before I upgraded to the IPhone 6.  This phone worked great for me most of the time. I didn't like that I could store everything I wanted to.  My Verizon service was excellent if I stayed in the NE area. Once I travelled to the SE I dropped called or didn't get calls. For the price of device and the phone I expected better.  
9353,I absolutely loved my iPhone and I miss it l. I switched to a Samsung galaxy and I like this one too but iphones are so expensive and overrated!
9354,"These older-model iPhones can be found fairly cheaply, but they can still run the latest version if iOS, so you don't have to worry about app compatibility.  Siri's there too, and just as helpful (or...not) as she is in other versions of the iPhone.  The 16GB model can hold enough tunes to get you through a commute, along with a decent number of apps and photos, but you won't be downloading movies and videos on this device.  Plus, if you're an app junkie like me, you'll find yourself deleting apps, photos, and music all the time to make room for the latest and greatest.

All told, it's still an iPhone with all that great Apple quality, but on the cheap.  If you aren't ready to invest in a newer upgrade, this one will still work for a while longer.  Beware, though... older models eventually become unsupported, and this one is now the oldest still-supported model, which means it will get cut with the next generation."
9355,Everything about this phone is awesome!! It's not large which I like. Connects with my iPad and iPod and makes picture and music sharing a breeze 
9356,I had this phone for three years and it worked so well until I dropped it of course 2 months ago then I had to go replace it but the picture quality was just not as good as it used to be. I assume its normal since is new updates and new phones coming out but overall this phone was really good and I do not regret having it for so long.
9357,"I'm completely in love with my iPhone 4S , although not the latest model of the apple I feel comfortable with the layout size of applications , all"
9358,"I love my iPhone. I used the 4s for almost 3 yes before upgrading to my current phone which is 6s. I find that the iPhone are so easy to user friendly. Even though most workplaces use PCs I still prefer using iPhone. The graphics, camera and speakers are just phenomenal. "
9359,"It sometimes  freezes which is really annoying and you have to reset. Also, the battery dies really fast so I have to carry my chord with me at all time. "
9360,"Loved this phone. 
I miss this phone but I dropped it and it smashed. 
The price to fix it was the same as buying a newer phone. "
9361,I love my iPhone and the memory it holds....tje pictures it takes are clear its almost like you were their in action 
9362,Loved this phone. No issues at all. Got a free upgrade and chose another iPhone! 
9363,Love my iphone! So easy to navigate through and it has a clean and simple design! Fav phone thus far 
9364,I had this a year or so ago.  At the time it was a great phone!! It was a good product 
9365,"I love Apple products I recently got this for my son and she loves. 
In white an unlock"
9366,Hated it. Never buyed it again. slow processor camera sucked but I liked it when it came out 
9367,"For a slightly older model of the iPhone, this one continues to keep up pretty well with the updates.  It is a good size and is manageable even with a case on it.  I tend to beat up my phones and this has stood up marvelously to being unceremoniously flung across the room on more than one occasion when I get too excited and talk with my hands.  All in all I have been very pleased with this device."
9368,Had this phone before I upgraded.  still works great after 3 years and having being dropped numerous times.  I use it now as.an ipod
9369,This phone has had a lot of use and still seems brand new. Super easy to use and the best apps available!
9370,It was a good phone for my first iPhone. I really enjoyed it until it broke.
9371,This thing is so ancient if you have one of these I'd recommend a upgrade from this phone.
9372,I've had one for ages and it's like my best friend and assistant haha I love it 
9373,"I love my 4s and my Verizon service! I have only had an issue once where out of nowhere my phone would not call out or anything, but I was able to reach my local Verizon location and they told me how to do a soft reset which saved the day! I also got a great price on this phone when the newer models came out. I wanted an iPhone but just couldn't afford the price. The one I have is a refurbished model, but they go through more testing than the freshly made ones is what the seasoned Verizon employee explained to me. I also got a great plan! I prepay just 45/month and have the best service around. I honestly went to other phone stores first thinking Verizon was too expensive, and after standing there 5 minutes or more in several stores and not even being acknowledged I was out of there! My local Verizon has someone waiting at the front door to see what the customer needs and either help or get them to the right employee that can! Love my phone, love my service!"
9374,Great phone. The real downside plus that you have to go through iTunes for all apps and music and they are very expensive. 
9375,Switched to Verizon because of the poor customer service from ATT. Iphones are great and I may never be able to switch because I'm so used to the format of the iphone now. 
9376,"That is the exact phone I have right now. Just got a new one because my old one the back camera had a crack in it. So, I needed a new phone."
9377,"It's stucked so many time. Sometimes, it has black screen and I didn't know how to fix it. Home screen had to try really hard to able to turn it on. Most of time I couldn't listen o music or watching video with sound, have to plug earphone in."
9378,"Awesome phone, enjoyed being able to download iTunes music and listen to it."
9379,"MI BEBE HERMOSO, LO ADORO, SOLO ME DIO UN POCO DE LATA CON EL WI FI PERO LO SOLUCIONE RAPIDAMENTE PERO SI ES UN DETALLE ADEMAS SE CALIENTA MUCHO"
9380,"Bad product probably the worst app,e phone ever. Lagged too much and shut down by itself"
9381,Seriously best quality phone ever will never ever crack I drop it sooo much an it doesn't budge because of the thickness I've had it for 2 year now I'm gettin the 6 but o know my 6 will dedinetly crack unlike this amazing phone by Apple.
9382,"I still love 4s more than any other. It's just perfect, the size, the system, everything. Totally recommended."
9383,Loveit .. the only orobllem is hw liitlle storage there is... for ome reason i can onlu have a few apps
9384,Not my favorite phone. I had so many problems with my  iphone. just not my type of phone.
9385,Once you own an apple product it is near impossible to own anything else. I absolutely love my phone 
9386,It's really small and starting to get slow I've always loved the 4s even though people made fun of me for it
9387,Love this phone and would definitely recommend Apple is a great brand! Love 
9388,"Iphone by far is the best phone choice possible! I love that I can link my phone, laptop, and ipad together.  I can get all my pictures and texts on any device!"
9389,"So glad I have the 5s now. I liked this phone while I had it, but it wasn't until I was able to upgrade my phone to the 5s that I realized how slow this phone was. Very very slow. And it had an awful camera, everything was shaky, like I took the photo on the top of a roller coaster going 30mph or something, even when I was completely still!!! Again, I'm so glad I have the 5s now, and can't wait until I can upgrade for the iPhone 6s"
9390,Technologic products get better and better everyday so I would not go back to this phone but I was very happy using it back in the day.
9391,"I got my 4s back in 2012. It's been ran over, dropped hundreds of times, and thrown here and there and it STILL works. Never cracked probably because of the case, but the buttons never broke either which I found interesting because my other friends with the same phone had that problem. It is a defect of this model, but it won't break if you take care of it. It's processor is slower in comparison to my other phones (Note 2 and iPhone 6s) but it's good to FaceTime or message when I don't have my laptop on me. "
9392,"This has lasted us years and now our 4s has been handed down to our son! So it's safe to say that it is well worth the money 
"
9393,"Even though most people always complained about how easily they would scratch or break, I never had an issue with mine. For the YEARS I've had it not once has it even gotten a scratch "
9394,I like iOS because it's my favorite but when you charge your phone and use it while it's charging for a while it starts to use it battery life
9395,"The system of the phone are fast. The color is beautiful and the quality of the camera is amazing, i love this phone."
9396,"Gran equipo, no da errores y se mantiene actual a pesar de ser de unos añitos atras, me encanta"
9397,Love it. its mt 3rd iphone and i am a total apple fan. once you go apple you cant go back to android!
9398,I liked it. Easy to use. My grandkids were even able to use it. Liked all the things that could be downloaded. 
9399,LOVE my iPhone 4! I would be lost without it! Minimal technical issues and very user friendly. I am not looking forward to having to upgrade. 
9400,The home button died on this phone and battery started to get old. But overall the phone worked great. 
9401,"Excellent quality in every way : image , video , sound speed of the device , you have the world at your fingertips ."
9402,Absolutely love this phone and everything about apple products!  It's been extremely durable and reliable for the last 3 years for me!
9403,The system is easy to use but the quality of the phone is not so good. It has so many problems since I brought it. 
9404,"I love my iPhone, I think that it's a great piece of technology for any age group. The battery life is about 10 hours, which is suitable for me as a student."
9405,"I really love Iphones, make everything so easy that when you try another phone you can understand anything "
9406,The iPhone 4S was a very reliable phone with the talk-to-text and Siri component. I have used both of these features to send a quick message to friends or locate a place. It is a great phone to use. 
9407,Love my phone! Apple is the best..has the greates apps and is very awesome! Wouldn't trade it for anything.
9408,I always loved my blackberry but my husband got me this phone as a gift. It was so simple to use and it fits easily in my pocket.. I have a 2 year old and I drop it all the time and it have never broke I have had it for 4 years and never had a problem. 
9409,"I had this , it was ok , but man the dam plug for the charger always get ruin for me and the screen just to tiny ."
9410,"This brand of phones is the best I've had , I love my iPhone 4S is very faithful to me and very good phone
"
9411,"I have never wanted to kill a phone more than I wanted to kill my 4s. It was deathly slow after being seriously babied the entire year and had every update available/ I had it and people say it was due to my carrier but now that I upgraded (because, you know, brand loyalty) it works just fine. "
9412,This was my first smart phone and I've been using it for 2+ years and it's still going strong!! I love my iPhone! 
9413,Absolutely love my Iphone4S. It does have glass on both sides making it very delicate but thankfully I've never broken it. 
9414,I still was not read for an upgrade to Apples bigger selection of phones. My phone has enough space in it and lets me multi-task stay on top of emails and get to my destinations because I rely heavily on GPS. Its perfect
9415,"We love our iphones.  We've had three different ones and  even after we're done using them as phones, we use them as ipods.  Our 4s has been used daily for nearly 4 years!  We've never had a single problem with it."
9416,I literally use this phone more than any other product although i do miss out on a lot of apps that require Ios8 and higher i still find this device very useful in my day to day use. 
9417,I use to have the 42 until upgrading and it was an awesome first I phone! I loved it apple is the best
9418,"Apple iPhone is great for tech lovers....as well as tech dummies like myself! The 4s model was my first smartphone and it did a good job of making the transition from a basic phone smooth and painless! One if the key selling points for me is that iPhones can text other iPhones when out of cell svc range if there is wifi.....which, in my case means my mother and I can text each other from our respective homes which we could not do before (rural area)! My only small complaint is that the battery life is not what I needed. (An issue resolved by iPhone 6!)"
9419,"This was my very first IPhone and it was great, I dropped it many times and it's never cracked. I also had it for 3 1/2 years before I bought the 5C back in January of 2015. "
9420,"Great phone, but the 16G is not a lot of storage. unless you're in a pickle, I suggest a phone with more storage for photos, music, etc. Apple is always great and user friendly though."
9421,I'm not a fan of apple products. You can't edit anything like you can on an Android to really make it your own. 
9422,When I upgraded to a 5s I held onto this phone as a backup instead of trading it in. When I recently cracked the screen on my 5s I used it until I got my 6splus and it was a trooper! Still holding onto it!
9423,"The iPhone 6S may have just come out, but my handy dandy iPhone 4S still works perfectly fine! "
9424,"No longer top of the line (though that does not take long with phones) but the perfect size for my toddler, and she loves using it to FaceTime her grandparents and friends.  While I sometimes wish it had more memory, it does the job for my toddler, and her father before her!"
9425,This iPhone rocks! Bought it 4 years ago and it's still working great! Highly recommend it!
9426,Stick with the tried and true old school iPhone 4s. It's perfect for my lifestyle and has the memory I need to keep up with my apps. Love it!
9427,Personally in my own opinion i like this phone like the signal is great .....
9428,"This was the first iPhone I ever had. I got it on sale last year. I love the iOS layout and performance. I think it is a great phone. However, it ran some apps very slow (Snapchat, Facebook, Twitter, etc.) This isn't always a big deal for some people, but it was for me. It was also extremely small, and I found myself dropping it a lot. I also had trouble hearing incoming phone calls unless I put it on speaker, but that could have just been my particular phone. Overall, a pretty great phone, especially a starter smartphone for someone!"
9429,"I know that this isn't the newest model and all, but the iphone 4 works perfectly for what I need it to do and I've had no problems with glitches or anything. Also, apple phones are like the easiest ever to navigate!"
9430,This phone has a small screen and takes average pictures. Other than that it seems to have all the other features of the newer iphones
9431,"Highly durable and long lasting. No need to upgrade if it is not broken. Does almost everything the new iphones do, with a few exceptions of course"
9432,Phones are ok. Battery life is crap though. Screens seem to crack easier than other phones I've had in the past and memory is never even close t what product claims due to so many unnecessary apps and programs being installed and unable to remove.
9433,"In LOVE with Iphones! Seriously the smartest things out there!! Also, LOVE the Siri option. I am always on the phone, but when I drive, Siri is my GO-TO! The only problem I've encountered with the 4S, and I'm not sure if others with the 4S have encountered this problem (or if I just have a bad one), every once in a while, like once every 2 months, my phone will shut off randomly, and wont turn back on for like 10/15 minutes. Its weird, and unfortunately not from a dead battery.. It will happen randomly! Like at 80%! Anywho, great phone! Just ordered the 6 and cant wait to get it!!"
9434,Aún tengo mi iphone 4 y es un muy bien tlf el único problema es la poca memoria que tiene 8gb es muy poco 
9435,"Not used the 4s but my husband had it and he loved it very much at that time, so i think its a great phone"
9436,THIS THING WAS GREAT BEST PHONE EVER WHAT A THROWBACK WOULD USE THIS IF MY PHONE BREAKS 
9437,This phone is great for my business. I can multitask while on the phone with a client. also great for GPS and taking notes on the go.
9438,This is a very good phone! It takes great pictures that are very clear. The sound quality is great and I love how much memory it has.
9439,Love my iPhone. I've had it for a while now and I love it so much. I think k would be so lost if I went to another brand 😂
9440,Not a huge fan of this iPhone. I have always been a Droid girl so having to switch to Apple was confusing for me. I will be going back to Droid (Samsung) as soon as possible. 
9441,"Love Apple iPhone so much, I wish I had more storage. Mine is 8 G, and I have to transfer photos to my computer every week in order to have enough storage space"
9442,Love the iPhone 6 so much better though I need to invest in a good case because it is fragile. 
9443,"This phone is great for everyday use, the battery last a good while for the amount of time I'm on it."
9444,All iphone ithink  they  are  great   like idk  its  just thefeel  of  it  the style   and  the feautures  is awayits  better  than  any   other  if   you   use   android   goo to  iphone  and  just  try  it   and   compare
9445,Great phone I had it for years before upgrading. There isn't much difference in this and the newer ones besides size and maybe the fingerprint scanner.
9446,I love it just sad that the screen has broken on me but fixed it and put a screen protector on it so it will be more protected 
9447,Sprint service is beyond terrible on top of that I am pretty sure that after 2 years iPhone batteries become worthless. I enjoyed my phone when I first got it but after a while the battery would drain in a few hours. 
9448,"Easy to use, great features, lots of apps, excellent quality and sound, lightweight , go shopping on your phone!"
9449,I had this phone since it came out and it was the best iphone at the time! It worked great and was all I needed in a phone. I have since upgraded after new phones came out though!
9450,Love the iPhone but this one doesn't have a lot of memory. I will be buying the 6 soon for more memory. Other than the memory usage I love the phone.
9451,"Im not usually the person who goes and buys the last iphone, i had this one for sooo long! Totally worth the money i paid for it"
9452,"I love all apple product. I have the iPhone and I love how clear my photos are and it's multi functional as well. There were times that I wanted to switch due to curiosity, but what keeps me loyal is their photo features and I love the sound on my music section as well~ "
9453,Worth the money but the screen looks a little smaller as compared to the 6S in the market. But it's a sturdy phone and wont bend or break in the pocket. It can rough it out a little bit so good for you if you have kids around. 
9454,"This iphone was a great size, I hate they keep getting bigger. When this came out it was the bee knees, but with all the updates it is worth upgrading! "
9455,LOVE my phone!  I will always buy Apple brand.  There is no comparison.  No problems at all with this one.
9456,"Team iPhone right here. They are more fragile, yes, but it's an amazing design that you can't get with any other phone. They are more expensive, yes, but quality is priceless especially on an item you use daily! "
9457,I loved this phone. It was my very first iPhone purchase. It was user friendly and reliable. I only stopped using it for an upgrade. 
9458,I had this phone and it worked really well. I now use it as my iPod but it was worth it 
